direction,lot,entry_time,entry_price,sl,tp,exit_time,exit_price,exit_reason,pnl_usd
SELL,0.01,2025-09-11T09:00:00+00:00,3622.199488673805,3626.864601935757,3613.802284802291,2025-09-11T12:30:00+00:00,3626.864601935757,SL,-4.665113261952229
SELL,0.01,2025-09-12T02:00:00+00:00,3647.39,3651.7955894523507,3643.7186754563745,2025-09-12T03:15:00+00:00,3651.7955894523507,SL,-4.405589452350796
SELL,0.01,2025-09-12T07:45:00+00:00,3647.968418617003,3651.2342324469732,3642.089953723056,2025-09-12T08:45:00+00:00,3642.089953723056,TP,5.878464893946784
BUY,0.01,2025-09-15T00:45:00+00:00,3633.401,3629.6972329428213,3636.487472547649,2025-09-15T01:00:00+00:00,3629.6972329428213,SL,-3.7037670571785384
BUY,0.01,2025-09-15T01:00:00+00:00,3628.798,3624.7130163040483,3632.2021530799593,2025-09-15T01:15:00+00:00,3632.2021530799593,TP,3.4041530799595425
BUY,0.01,2025-09-15T07:45:00+00:00,3644.337632132114,3640.761310810977,3650.77501051016,2025-09-15T09:15:00+00:00,3640.761310810977,SL,-3.5763213211366747
BUY,0.01,2025-09-16T08:00:00+00:00,3694.6134208108097,3690.58921270271,3701.856995405389,2025-09-16T11:15:00+00:00,3690.58921270271,SL,-4.024208108099629
BUY,0.01,2025-09-17T01:30:00+00:00,3677.712,3673.972007766302,3680.8286601947484,2025-09-17T01:45:00+00:00,3680.8286601947484,TP,3.1166601947484196
SELL,0.01,2025-09-17T07:15:00+00:00,3669.924271382015,3674.0415575618654,3662.513156258284,2025-09-17T08:30:00+00:00,3662.513156258284,TP,7.411115123730724
BUY,0.01,2025-09-18T07:30:00+00:00,3652.6186238613354,3646.382385247982,3663.843853365372,2025-09-18T08:45:00+00:00,3663.843853365372,TP,11.225229504036633
BUY,0.01,2025-09-19T07:45:00+00:00,3654.7153947530364,3650.121447222672,3662.9845003076925,2025-09-19T08:15:00+00:00,3650.121447222672,SL,-4.593947530364403
SELL,0.01,2025-09-22T01:00:00+00:00,3694.614,3698.9882608670714,3690.968782610774,2025-09-22T01:15:00+00:00,3690.968782610774,TP,3.6452173892262176
BUY,0.01,2025-09-22T08:30:00+00:00,3720.326984015958,3715.627143856381,3728.786696303196,2025-09-22T12:15:00+00:00,3715.627143856381,SL,-4.699840159576979
BUY,0.01,2025-09-23T08:15:00+00:00,3757.910618187552,3753.334436312033,3766.147745563485,2025-09-23T08:30:00+00:00,3766.147745563485,TP,8.237127375933142
BUY,0.01,2025-09-24T07:15:00+00:00,3776.5562145086683,3772.134069421984,3784.5160756647,2025-09-24T08:00:00+00:00,3772.134069421984,SL,-4.422145086684395
BUY,0.01,2025-09-25T07:30:00+00:00,3748.8784751323833,3743.7137238085515,3758.1750275152804,2025-09-25T08:00:00+00:00,3758.1750275152804,TP,9.296552382897062
BUY,0.01,2025-09-26T08:30:00+00:00,3754.630595341436,3749.9746419270746,3763.0113114872875,2025-09-26T09:15:00+00:00,3749.9746419270746,SL,-4.6559534143616474
SELL,0.01,2025-09-29T07:30:00+00:00,3810.271792708402,3817.083865624386,3798.0100614596304,2025-09-29T08:45:00+00:00,3817.083865624386,SL,-6.812072915984118
SELL,0.01,2025-09-30T01:15:00+00:00,3844.346,3849.8572793414974,3839.753267215419,2025-09-30T01:30:00+00:00,3849.8572793414974,SL,-5.511279341497357
SELL,0.01,2025-09-30T01:30:00+00:00,3848.2,3853.9975879599615,3843.3686767000318,2025-09-30T02:15:00+00:00,3843.3686767000318,TP,4.831323299968062
SELL,0.01,2025-09-30T03:15:00+00:00,3858.212,3864.5299547987006,3852.9470376677496,2025-09-30T03:45:00+00:00,3864.5299547987006,SL,-6.317954798700612
SELL,0.01,2025-09-30T03:45:00+00:00,3864.772,3871.098140617247,3859.500216152294,2025-09-30T06:00:00+00:00,3871.098140617247,SL,-6.326140617246892
SELL,0.01,2025-09-30T07:15:00+00:00,3850.217971616144,3856.258255454705,3839.3454607067347,2025-09-30T08:00:00+00:00,3839.3454607067347,TP,10.872510909409357
BUY,0.01,2025-10-01T07:15:00+00:00,3867.7570306209814,3862.236724411166,3877.6935817986487,2025-10-01T07:45:00+00:00,3877.6935817986487,TP,9.936551177667297
BUY,0.01,2025-10-02T07:15:00+00:00,3874.8012477346024,3869.6887703885764,3884.003706957449,2025-10-02T07:30:00+00:00,3869.6887703885764,SL,-5.112477346026026
BUY,0.01,2025-10-03T03:15:00+00:00,3839.924,3833.478976905886,3845.294852578428,2025-10-03T04:00:00+00:00,3845.294852578428,TP,5.370852578428185
BUY,0.01,2025-10-03T07:15:00+00:00,3861.4926870033605,3856.7058169697566,3870.109053063848,2025-10-03T11:30:00+00:00,3856.7058169697566,SL,-4.786870033603918
SELL,0.01,2025-10-05T23:00:00+00:00,3910.066,3917.8532018828464,3903.5766650976275,2025-10-06T00:00:00+00:00,3903.5766650976275,TP,6.48933490237232
SELL,0.01,2025-10-06T02:00:00+00:00,3923.812,3932.076605333006,3916.9248288891613,2025-10-06T04:00:00+00:00,3932.076605333006,SL,-8.264605333005875
BUY,0.01,2025-10-06T07:45:00+00:00,3937.0254434866633,3930.3010086200284,3949.129426246606,2025-10-06T08:00:00+00:00,3949.129426246606,TP,12.103982759942483
SELL,0.01,2025-10-07T07:15:00+00:00,3949.0425000580663,3955.3674994774065,3937.6575011032537,2025-10-07T07:30:00+00:00,3955.3674994774065,SL,-6.324999419340202
SELL,0.01,2025-10-08T00:00:00+00:00,3996.797,4002.222346711346,3992.275877740545,2025-10-08T00:30:00+00:00,3992.275877740545,TP,4.521122259454842
SELL,0.01,2025-10-08T02:30:00+00:00,4006.494,4013.1745832478223,4000.926847293482,2025-10-08T03:00:00+00:00,4013.1745832478223,SL,-6.680583247822142
SELL,0.01,2025-10-08T03:00:00+00:00,4013.476,4020.09157433103,4007.963021390808,2025-10-08T04:00:00+00:00,4020.09157433103,SL,-6.615574331030075
BUY,0.01,2025-10-08T08:00:00+00:00,4039.6043487195234,4033.7908615242923,4050.0686256709396,2025-10-08T09:00:00+00:00,4033.7908615242923,SL,-5.813487195231119
BUY,0.01,2025-10-08T23:15:00+00:00,4013.942,4003.7919527008876,4022.4003727492604,2025-10-08T23:45:00+00:00,4003.7919527008876,SL,-10.15004729911243
BUY,0.01,2025-10-09T09:00:00+00:00,4041.613658916906,4035.57706974785,4052.4795194212065,2025-10-09T09:30:00+00:00,4035.57706974785,SL,-6.036589169055787
BUY,0.01,2025-10-10T04:00:00+00:00,3947.917,3936.919855108052,3957.0812874099565,2025-10-10T04:15:00+00:00,3957.0812874099565,TP,9.164287409956614
BUY,0.01,2025-10-10T08:00:00+00:00,3977.1046063027466,3967.658543275278,3994.10751975219,2025-10-10T08:45:00+00:00,3994.10751975219,TP,17.00291344944344
SELL,0.01,2025-10-12T23:00:00+00:00,4048.307,4063.0197452401526,4036.046378966539,2025-10-12T23:45:00+00:00,4036.046378966539,TP,12.260621033460666
BUY,0.01,2025-10-13T07:15:00+00:00,4074.410674154279,4066.0239326114875,4089.506808931304,2025-10-13T13:15:00+00:00,4089.506808931304,TP,15.096134777024872
SELL,0.01,2025-10-13T23:30:00+00:00,4128.464,4136.295201600207,4121.9379986664935,2025-10-14T00:00:00+00:00,4121.9379986664935,TP,6.526001333506429
SELL,0.01,2025-10-14T01:00:00+00:00,4140.584,4149.441934104292,4133.202388246423,2025-10-14T01:15:00+00:00,4149.441934104292,SL,-8.857934104292326
SELL,0.01,2025-10-14T01:15:00+00:00,4146.859,4156.004538811129,4139.237717657393,2025-10-14T01:30:00+00:00,4139.237717657393,TP,7.621282342607628
BUY,0.01,2025-10-14T08:00:00+00:00,4135.348956473519,4120.879391738331,4161.394172996858,2025-10-14T12:15:00+00:00,4120.879391738331,SL,-14.469564735188214
BUY,0.01,2025-10-15T07:30:00+00:00,4201.347304548286,4193.644259065429,4215.21278641743,2025-10-15T08:00:00+00:00,4215.21278641743,TP,13.865481869143878
BUY,0.01,2025-10-16T07:15:00+00:00,4232.516030987712,4224.085721110594,4247.690588766524,2025-10-16T09:15:00+00:00,4224.085721110594,SL,-8.430309877117907
SELL,0.01,2025-10-17T07:15:00+00:00,4345.127731911102,4361.950412800083,4314.846906310938,2025-10-17T11:30:00+00:00,4314.846906310938,TP,30.280825600164462
BUY,0.01,2025-10-20T07:15:00+00:00,4258.39539749925,4246.071422506744,4280.578552485761,2025-10-20T10:00:00+00:00,4246.071422506744,SL,-12.32397499250601
SELL,0.01,2025-10-21T07:30:00+00:00,4316.00486883796,4327.646180458354,4295.050507921252,2025-10-21T08:00:00+00:00,4295.050507921252,TP,20.954360916708538
BUY,0.01,2025-10-22T00:00:00+00:00,4036.562,4012.63774725425,4056.498877288125,2025-10-22T00:15:00+00:00,4056.498877288125,TP,19.936877288125288
BUY,0.01,2025-10-22T00:15:00+00:00,4049.084,4024.387536736089,4069.664386053259,2025-10-22T00:30:00+00:00,4069.664386053259,TP,20.58038605325919
SELL,0.01,2025-10-22T08:00:00+00:00,4125.9148844140545,4143.706040273518,4093.8908038670215,2025-10-22T08:15:00+00:00,4093.8908038670215,TP,32.02408054703301
SELL,0.01,2025-10-23T07:30:00+00:00,4108.872626215966,4121.0363640563055,4086.9778981033555,2025-10-23T09:00:00+00:00,4121.0363640563055,SL,-12.163737840339309
